Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-1.45000000E+1	3.79406319E+0	
-1.40000000E+1	2.80611535E+0	
-1.35000000E+1	1.40765551E+0	
-1.30000000E+1	-6.15988562E-1	
-1.25000000E+1	-3.75864113E+0	
-1.20000000E+1	-9.66603753E+0	
-1.15000000E+1	-3.13169992E+1	
-1.10000000E+1	-7.60797709E+0	
-1.05000000E+1	-1.54916359E+0	
-1.00000000E+1	2.17451687E+0	
-9.50000000E+0	4.89213662E+0	
-9.00000000E+0	7.03648861E+0	
-8.50000000E+0	8.80386794E+0	
-8.00000000E+0	1.03001693E+1	
-7.50000000E+0	1.15890969E+1	
-7.00000000E+0	1.27119648E+1	
-6.50000000E+0	1.36970760E+1	
-6.00000000E+0	1.45646398E+1	
-5.50000000E+0	1.53295534E+1	
-5.00000000E+0	1.60030733E+1	
-4.50000000E+0	1.65938672E+1	
-4.00000000E+0	1.71087024E+1	
-3.50000000E+0	1.75529117E+1	
-3.00000000E+0	1.79307151E+1	
-2.50000000E+0	1.82454473E+1	
-2.00000000E+0	1.84997209E+1	
-1.50000000E+0	1.86955431E+1	
-1.00000000E+0	1.88344001E+1	
-5.00000000E-1	1.89173152E+1	
0.00000000E+0	1.89448878E+1	
5.00000000E-1	1.89173152E+1	
1.00000000E+0	1.88344001E+1	
1.50000000E+0	1.86955431E+1	
2.00000000E+0	1.84997209E+1	
2.50000000E+0	1.82454473E+1	
3.00000000E+0	1.79307151E+1	
3.50000000E+0	1.75529117E+1	
4.00000000E+0	1.71087024E+1	
4.50000000E+0	1.65938672E+1	
5.00000000E+0	1.60030733E+1	
5.50000000E+0	1.53295534E+1	
6.00000000E+0	1.45646398E+1	
6.50000000E+0	1.36970760E+1	
7.00000000E+0	1.27119648E+1	
7.50000000E+0	1.15890969E+1	
8.00000000E+0	1.03001693E+1	
8.50000000E+0	8.80386794E+0	
9.00000000E+0	7.03648861E+0	
9.50000000E+0	4.89213662E+0	
1.00000000E+1	2.17451687E+0	
1.05000000E+1	-1.54916359E+0	
1.10000000E+1	-7.60797709E+0	
1.15000000E+1	-3.13169992E+1	
1.20000000E+1	-9.66603753E+0	
1.25000000E+1	-3.75864113E+0	
1.30000000E+1	-6.15988562E-1	
1.35000000E+1	1.40765551E+0	
1.40000000E+1	2.80611535E+0	
1.45000000E+1	3.79406319E+0	
1.50000000E+1	4.48334962E+0	
1.55000000E+1	4.93868160E+0	
1.60000000E+1	5.19981492E+0	
1.65000000E+1	5.29177050E+0	
1.70000000E+1	5.22997876E+0	
1.75000000E+1	5.02297122E+0	
1.80000000E+1	4.67371944E+0	
1.85000000E+1	4.18009019E+0	
1.90000000E+1	3.53456347E+0	
1.95000000E+1	2.72312444E+0	
2.00000000E+1	1.72295274E+0	
2.05000000E+1	4.98005865E-1	
2.10000000E+1	-1.00962497E+0	
2.15000000E+1	-2.89801443E+0	
2.20000000E+1	-5.34950976E+0	
2.25000000E+1	-8.76140163E+0	
2.30000000E+1	-1.43077549E+1	
2.35000000E+1	-3.15987088E+1	
2.40000000E+1	-1.75868335E+1	
2.45000000E+1	-1.10468785E+1	
2.50000000E+1	-7.59834852E+0	
2.55000000E+1	-5.34413368E+0	
2.60000000E+1	-3.74386940E+0	
2.65000000E+1	-2.56698603E+0	
2.70000000E+1	-1.69403406E+0	
2.75000000E+1	-1.05562762E+0	
2.80000000E+1	-6.08455001E-1	
2.85000000E+1	-3.24291063E-1	
2.90000000E+1	-1.84420546E-1	
2.95000000E+1	-1.76613534E-1	
3.00000000E+1	-2.93437332E-1	
