Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-1.45000000E+1	6.24775030E+0	
-1.40000000E+1	6.09202061E+0	
-1.35000000E+1	5.26030245E+0	
-1.30000000E+1	3.52504463E+0	
-1.25000000E+1	2.66523901E-1	
-1.20000000E+1	-7.02280262E+0	
-1.15000000E+1	-1.24555576E+1	
-1.10000000E+1	-3.77787203E-1	
-1.05000000E+1	4.52069488E+0	
-1.00000000E+1	7.45843633E+0	
-9.50000000E+0	9.35409001E+0	
-9.00000000E+0	1.05191198E+1	
-8.50000000E+0	1.10669301E+1	
-8.00000000E+0	1.10037741E+1	
-7.50000000E+0	1.02312582E+1	
-7.00000000E+0	8.46487322E+0	
-6.50000000E+0	4.86920401E+0	
-6.00000000E+0	-4.98065931E+0	
-5.50000000E+0	-9.87426145E-1	
-5.00000000E+0	8.19790849E+0	
-4.50000000E+0	1.29023453E+1	
-4.00000000E+0	1.60796261E+1	
-3.50000000E+0	1.84315254E+1	
-3.00000000E+0	2.02385887E+1	
-2.50000000E+0	2.16410930E+1	
-2.00000000E+0	2.27183855E+1	
-1.50000000E+0	2.35185515E+1	
-1.00000000E+0	2.40715143E+1	
-5.00000000E-1	2.43954322E+1	
0.00000000E+0	2.44517548E+1	
5.00000000E-1	2.43951919E+1	
1.00000000E+0	2.40712893E+1	
1.50000000E+0	2.35183442E+1	
2.00000000E+0	2.27181948E+1	
2.50000000E+0	2.16409141E+1	
3.00000000E+0	2.02384128E+1	
3.50000000E+0	1.84313385E+1	
4.00000000E+0	1.60794044E+1	
4.50000000E+0	1.29020427E+1	
5.00000000E+0	8.19740311E+0	
5.50000000E+0	-9.88865006E-1	
6.00000000E+0	-4.97896989E+0	
6.50000000E+0	4.86967055E+0	
7.00000000E+0	8.46505754E+0	
7.50000000E+0	1.02312658E+1	
8.00000000E+0	1.10036177E+1	
8.50000000E+0	1.10665892E+1	
9.00000000E+0	1.05185483E+1	
9.50000000E+0	9.35320530E+0	
1.00000000E+1	7.45708449E+0	
1.05000000E+1	4.51853401E+0	
1.10000000E+1	-3.81841297E-1	
1.15000000E+1	-1.24717512E+1	
1.20000000E+1	-7.01495235E+0	
1.25000000E+1	2.69429940E-1	
1.30000000E+1	3.52651157E+0	
1.35000000E+1	5.26095145E+0	
1.40000000E+1	6.09203387E+0	
1.45000000E+1	6.24716208E+0	
1.50000000E+1	5.80438343E+0	
1.55000000E+1	4.74930684E+0	
1.60000000E+1	2.96569592E+0	
1.65000000E+1	1.43497484E-1	
1.70000000E+1	-4.61831875E+0	
1.75000000E+1	-1.59384639E+1	
1.80000000E+1	-1.08253377E+1	
1.85000000E+1	-3.61808585E+0	
1.90000000E+1	-2.67465823E-1	
1.95000000E+1	1.58549224E+0	
2.00000000E+1	2.55145307E+0	
2.05000000E+1	2.86113676E+0	
2.10000000E+1	2.60177765E+0	
2.15000000E+1	1.77707685E+0	
2.20000000E+1	3.09293590E-1	
2.25000000E+1	-2.01281082E+0	
2.30000000E+1	-5.73480012E+0	
2.35000000E+1	-1.27179829E+1	
2.40000000E+1	-1.87976603E+1	
2.45000000E+1	-8.90164021E+0	
2.50000000E+1	-4.56167305E+0	
2.55000000E+1	-2.16019418E+0	
2.60000000E+1	-7.82368079E-1	
2.65000000E+1	-9.92747932E-2	
2.70000000E+1	2.78070984E-2	
2.75000000E+1	-3.51936207E-1	
2.80000000E+1	-1.25167395E+0	
2.85000000E+1	-2.75379421E+0	
2.90000000E+1	-5.05863609E+0	
2.95000000E+1	-8.64618803E+0	
3.00000000E+1	-1.48187557E+1	
3.05000000E+1	-1.92288026E+1	
3.10000000E+1	-1.17969376E+1	
3.15000000E+1	-7.60488927E+0	
3.20000000E+1	-5.16981116E+0	
3.25000000E+1	-3.70392837E+0	
3.30000000E+1	-2.89343959E+0	
3.35000000E+1	-2.59585890E+0	
3.40000000E+1	-2.74872197E+0	
3.45000000E+1	-3.33943482E+0	
3.50000000E+1	-4.39982091E+0	
3.55000000E+1	-6.01925865E+0	
3.60000000E+1	-8.38687455E+0	
3.65000000E+1	-1.18921904E+1	
3.70000000E+1	-1.70543414E+1	
3.75000000E+1	-1.88427107E+1	
3.80000000E+1	-1.39181052E+1	
3.85000000E+1	-1.03367295E+1	
3.90000000E+1	-8.06583888E+0	
3.95000000E+1	-6.61759210E+0	
4.00000000E+1	-5.74472713E+0	
4.05000000E+1	-5.32072168E+0	
4.10000000E+1	-5.28061728E+0	
4.15000000E+1	-5.59640205E+0	
4.20000000E+1	-6.26771363E+0	
4.25000000E+1	-7.32100885E+0	
4.30000000E+1	-8.81543456E+0	
4.35000000E+1	-1.08538698E+1	
4.40000000E+1	-1.35755343E+1	
4.45000000E+1	-1.68963284E+1	
4.50000000E+1	-1.88776519E+1	
4.55000000E+1	-1.69562985E+1	
4.60000000E+1	-1.41106290E+1	
4.65000000E+1	-1.19075615E+1	
4.70000000E+1	-1.03521262E+1	
4.75000000E+1	-9.29789048E+0	
4.80000000E+1	-8.63786015E+0	
4.85000000E+1	-8.30425187E+0	
4.90000000E+1	-8.25582294E+0	
4.95000000E+1	-8.46936979E+0	
5.00000000E+1	-8.93493258E+0	
5.05000000E+1	-9.65317748E+0	
5.10000000E+1	-1.06335143E+1	
5.15000000E+1	-1.18905207E+1	
5.20000000E+1	-1.34318668E+1	
5.25000000E+1	-1.52166541E+1	
5.30000000E+1	-1.70323019E+1	
5.35000000E+1	-1.82932632E+1	
5.40000000E+1	-1.83066157E+1	
5.45000000E+1	-1.72493385E+1	
5.50000000E+1	-1.58704132E+1	
5.55000000E+1	-1.46091424E+1	
5.60000000E+1	-1.35918421E+1	
5.65000000E+1	-1.28265728E+1	
5.70000000E+1	-1.22909309E+1	
5.75000000E+1	-1.19590543E+1	
5.80000000E+1	-1.18084249E+1	
5.85000000E+1	-1.18207609E+1	
5.90000000E+1	-1.19812883E+1	
5.95000000E+1	-1.22775757E+1	
6.00000000E+1	-1.26981535E+1	
6.05000000E+1	-1.32308155E+1	
6.10000000E+1	-1.38603622E+1	
6.15000000E+1	-1.45655287E+1	
6.20000000E+1	-1.53150791E+1	
6.25000000E+1	-1.60639059E+1	
6.30000000E+1	-1.67518569E+1	
6.35000000E+1	-1.73102205E+1	
6.40000000E+1	-1.76795078E+1	
6.45000000E+1	-1.78327131E+1	
6.50000000E+1	-1.77872716E+1	
6.55000000E+1	-1.75947849E+1	
6.60000000E+1	-1.73178653E+1	
6.65000000E+1	-1.70112612E+1	
6.70000000E+1	-1.67142484E+1	
6.75000000E+1	-1.64511285E+1	
6.80000000E+1	-1.62347811E+1	
6.85000000E+1	-1.60703170E+1	
6.90000000E+1	-1.59578524E+1	
6.95000000E+1	-1.58943596E+1	
7.00000000E+1	-1.58748229E+1	
7.05000000E+1	-1.58929452E+1	
7.10000000E+1	-1.59415901E+1	
7.15000000E+1	-1.60130932E+1	
7.20000000E+1	-1.60995265E+1	
7.25000000E+1	-1.61929715E+1	
7.30000000E+1	-1.62858246E+1	
7.35000000E+1	-1.63711343E+1	
7.40000000E+1	-1.64429435E+1	
7.45000000E+1	-1.64965911E+1	
7.50000000E+1	-1.65289225E+1	
7.55000000E+1	-1.65383662E+1	
7.60000000E+1	-1.65248599E+1	
7.65000000E+1	-1.64896394E+1	
7.70000000E+1	-1.64349301E+1	
7.75000000E+1	-1.63635965E+1	
7.80000000E+1	-1.62788021E+1	
7.85000000E+1	-1.61837173E+1	
7.90000000E+1	-1.60812981E+1	
7.95000000E+1	-1.59741396E+1	
8.00000000E+1	-1.58643946E+1	
8.05000000E+1	-1.57537466E+1	
8.10000000E+1	-1.56434196E+1	
8.15000000E+1	-1.55342127E+1	
8.20000000E+1	-1.54265477E+1	
8.25000000E+1	-1.53205224E+1	
