Far field
"Theta"[deg]	"FarField1 [dBsm]"	
-1.20000000E+1	8.85900546E+0	
-1.15000000E+1	-1.32273416E+1	
-1.10000000E+1	9.66736748E+0	
-1.05000000E+1	1.48330678E+1	
-1.00000000E+1	1.74800299E+1	
-9.50000000E+0	1.89147279E+1	
-9.00000000E+0	1.95368631E+1	
-8.50000000E+0	1.94912789E+1	
-8.00000000E+0	1.88000169E+1	
-7.50000000E+0	1.73788257E+1	
-7.00000000E+0	1.49710529E+1	
-6.50000000E+0	1.08443177E+1	
-6.00000000E+0	1.58822179E+0	
-5.50000000E+0	6.57451548E-1	
-5.00000000E+0	1.00734667E+1	
-4.50000000E+0	1.39537495E+1	
-4.00000000E+0	1.60541845E+1	
-3.50000000E+0	1.71440377E+1	
-3.00000000E+0	1.74883319E+1	
-2.50000000E+0	1.71721967E+1	
-2.00000000E+0	1.61700310E+1	
-1.50000000E+0	1.43265680E+1	
-1.00000000E+0	1.12107842E+1	
-5.00000000E-1	5.36586542E+0	
0.00000000E+0	-7.20760889E+1	
5.00000000E-1	5.06485983E+0	
1.00000000E+0	1.06053325E+1	
1.50000000E+0	1.34170788E+1	
2.00000000E+0	1.49562054E+1	
2.50000000E+0	1.56534652E+1	
3.00000000E+0	1.56639282E+1	
3.50000000E+0	1.50130222E+1	
4.00000000E+0	1.36154628E+1	
4.50000000E+0	1.12061151E+1	
5.00000000E+0	7.01578586E+0	
5.50000000E+0	-2.70918477E+0	
6.00000000E+0	-2.10257164E+0	
6.50000000E+0	6.84017987E+0	
7.00000000E+0	1.06488035E+1	
7.50000000E+0	1.27355650E+1	
8.00000000E+0	1.38328546E+1	
8.50000000E+0	1.41971466E+1	
9.00000000E+0	1.39124558E+1	
9.50000000E+0	1.29564663E+1	
1.00000000E+1	1.11840095E+1	
1.05000000E+1	8.19494055E+0	
1.10000000E+1	2.68175914E+0	
1.15000000E+1	-2.06054977E+1	
1.20000000E+1	1.17349255E+0	
1.25000000E+1	7.10401411E+0	
1.30000000E+1	1.00889997E+1	
1.35000000E+1	1.17616852E+1	
1.40000000E+1	1.25923404E+1	
1.45000000E+1	1.27568152E+1	
1.50000000E+1	1.23027368E+1	
1.55000000E+1	1.11828495E+1	
1.60000000E+1	9.22092683E+0	
1.65000000E+1	5.94306884E+0	
1.70000000E+1	-3.09474510E-1	
1.75000000E+1	-2.10842707E+1	
1.80000000E+1	8.71056137E-1	
1.85000000E+1	6.10623684E+0	
1.90000000E+1	8.86185529E+0	
1.95000000E+1	1.04315274E+1	
2.00000000E+1	1.12196875E+1	
2.05000000E+1	1.13835942E+1	
2.10000000E+1	1.09686718E+1	
2.15000000E+1	9.93774995E+0	
2.20000000E+1	8.14626220E+0	
2.25000000E+1	5.21990322E+0	
2.30000000E+1	-7.78675729E-3	
2.35000000E+1	-1.73659626E+1	
2.40000000E+1	-2.95205820E+0	
2.45000000E+1	3.46878793E+0	
2.50000000E+1	6.67366215E+0	
2.55000000E+1	8.53455550E+0	
2.60000000E+1	9.57330825E+0	
2.65000000E+1	9.99472714E+0	
2.70000000E+1	9.87890588E+0	
2.75000000E+1	9.23221192E+0	
2.80000000E+1	7.99024010E+0	
2.85000000E+1	5.97696575E+0	
2.90000000E+1	2.74980992E+0	
2.95000000E+1	-3.15536000E+0	
3.00000000E+1	-6.39891637E+1	
3.05000000E+1	-3.40164788E+0	
3.10000000E+1	2.23912361E+0	
3.15000000E+1	5.21739507E+0	
3.20000000E+1	6.99973470E+0	
3.25000000E+1	8.03587603E+0	
3.30000000E+1	8.51241454E+0	
3.35000000E+1	8.50977242E+0	
3.40000000E+1	8.04801520E+0	
3.45000000E+1	7.09602140E+0	
3.50000000E+1	5.55522011E+0	
3.55000000E+1	3.19702033E+0	
3.60000000E+1	-5.61795288E-1	
3.65000000E+1	-7.95260044E+0	
3.70000000E+1	-1.71399717E+1	
3.75000000E+1	-3.68084462E+0	
3.80000000E+1	1.00863727E+0	
3.85000000E+1	3.66500121E+0	
3.90000000E+1	5.31747490E+0	
3.95000000E+1	6.32367161E+0	
4.00000000E+1	6.84322365E+0	
4.05000000E+1	6.95212160E+0	
4.10000000E+1	6.67990856E+0	
4.15000000E+1	6.02115736E+0	
4.20000000E+1	4.93281143E+0	
4.25000000E+1	3.31486204E+0	
4.30000000E+1	9.52743077E-1	
4.35000000E+1	-2.67571900E+0	
4.40000000E+1	-9.41289679E+0	
4.45000000E+1	-2.48355879E+1	
4.50000000E+1	-7.19406404E+0	
4.55000000E+1	-2.08533449E+0	
4.60000000E+1	7.88339664E-1	
4.65000000E+1	2.62572770E+0	
4.70000000E+1	3.82780587E+0	
4.75000000E+1	4.57515365E+0	
4.80000000E+1	4.96067983E+0	
4.85000000E+1	5.03358302E+0	
4.90000000E+1	4.81652714E+0	
4.95000000E+1	4.31207096E+0	
5.00000000E+1	3.50300201E+0	
5.05000000E+1	2.34678148E+0	
5.10000000E+1	7.60128396E-1	
5.15000000E+1	-1.42017460E+0	
5.20000000E+1	-4.55256368E+0	
5.25000000E+1	-9.66402926E+0	
5.30000000E+1	-2.34648796E+1	
5.35000000E+1	-1.46394700E+1	
5.40000000E+1	-7.48912108E+0	
5.45000000E+1	-3.90376640E+0	
5.50000000E+1	-1.63702493E+0	
5.55000000E+1	-9.06614965E-2	
5.60000000E+1	9.83766716E-1	
5.65000000E+1	1.71265000E+0	
5.70000000E+1	2.16798094E+0	
5.75000000E+1	2.39333220E+0	
5.80000000E+1	2.41546318E+0	
5.85000000E+1	2.24995371E+0	
5.90000000E+1	1.90393398E+0	
5.95000000E+1	1.37712103E+0	
6.00000000E+1	6.61566572E-1	
6.05000000E+1	-2.59985000E-1	
6.10000000E+1	-1.41780841E+0	
6.15000000E+1	-2.86276951E+0	
6.20000000E+1	-4.68238017E+0	
6.25000000E+1	-7.03879709E+0	
6.30000000E+1	-1.02772921E+1	
6.35000000E+1	-1.53584103E+1	
6.40000000E+1	-2.79644980E+1	
6.45000000E+1	-2.15348708E+1	
6.50000000E+1	-1.40174854E+1	
6.55000000E+1	-1.03206912E+1	
6.60000000E+1	-7.96278267E+0	
6.65000000E+1	-6.30890824E+0	
6.70000000E+1	-5.09819133E+0	
6.75000000E+1	-4.19743182E+0	
6.80000000E+1	-3.52922031E+0	
6.85000000E+1	-3.04449033E+0	
6.90000000E+1	-2.71014199E+0	
6.95000000E+1	-2.50278153E+0	
7.00000000E+1	-2.40527420E+0	
7.05000000E+1	-2.40471836E+0	
7.10000000E+1	-2.49119156E+0	
7.15000000E+1	-2.65694165E+0	
7.20000000E+1	-2.89584696E+0	
7.25000000E+1	-3.20304626E+0	
7.30000000E+1	-3.57467972E+0	
7.35000000E+1	-4.00770495E+0	
7.40000000E+1	-4.49976525E+0	
7.45000000E+1	-5.04909565E+0	
7.50000000E+1	-5.65445689E+0	
7.55000000E+1	-6.31509104E+0	
7.60000000E+1	-7.03069464E+0	
7.65000000E+1	-7.80140657E+0	
7.70000000E+1	-8.62780935E+0	
7.75000000E+1	-9.51094315E+0	
7.80000000E+1	-1.04523329E+1	
7.85000000E+1	-1.14540293E+1	
7.90000000E+1	-1.25186662E+1	
7.95000000E+1	-1.36495372E+1	
8.00000000E+1	-1.48506945E+1	
8.05000000E+1	-1.61270795E+1	
8.10000000E+1	-1.74846898E+1	
8.15000000E+1	-1.89307986E+1	
8.20000000E+1	-2.04742420E+1	
8.25000000E+1	-2.21258015E+1	
8.30000000E+1	-2.38987198E+1	
8.35000000E+1	-2.58094087E+1	
8.40000000E+1	-2.78784397E+1	
8.45000000E+1	-3.01319642E+1	
8.50000000E+1	-3.26038031E+1	
8.55000000E+1	-3.53386188E+1	
8.60000000E+1	-3.83969000E+1	
8.65000000E+1	-4.18630948E+1	
8.70000000E+1	-4.58593195E+1	
8.75000000E+1	-5.05683149E+1	
8.80000000E+1	-5.62621828E+1	
8.85000000E+1	-6.32079657E+1	
8.90000000E+1	-7.00800605E+1	
8.95000000E+1	-7.22031109E+1	
9.00000000E+1	-7.22584453E+1	
