Far field
"Theta"[deg]	"FarField1 [dBsm]"	
-1.25000000E+1	1.75416072E+1	
-1.20000000E+1	1.18548006E+1	
-1.15000000E+1	-9.62630575E+0	
-1.10000000E+1	1.39016718E+1	
-1.05000000E+1	1.97045433E+1	
-1.00000000E+1	2.30024651E+1	
-9.50000000E+0	2.51043584E+1	
-9.00000000E+0	2.64125667E+1	
-8.50000000E+0	2.70749395E+1	
-8.00000000E+0	2.71170004E+1	
-7.50000000E+0	2.64585860E+1	
-7.00000000E+0	2.48478994E+1	
-6.50000000E+0	2.15583480E+1	
-6.00000000E+0	1.31856394E+1	
-5.50000000E+0	1.32023453E+1	
-5.00000000E+0	2.36267207E+1	
-4.50000000E+0	2.86007620E+1	
-4.00000000E+0	3.18997210E+1	
-3.50000000E+0	3.43217341E+1	
-3.00000000E+0	3.61742154E+1	
-2.50000000E+0	3.76079896E+1	
-2.00000000E+0	3.87074504E+1	
-1.50000000E+0	3.95234463E+1	
-1.00000000E+0	4.00875793E+1	
-5.00000000E-1	4.04191231E+1	
0.00000000E+0	4.05285318E+1	
5.00000000E-1	4.04191225E+1	
1.00000000E+0	4.00875780E+1	
1.50000000E+0	3.95234443E+1	
2.00000000E+0	3.87074475E+1	
2.50000000E+0	3.76079856E+1	
3.00000000E+0	3.61742098E+1	
3.50000000E+0	3.43217262E+1	
4.00000000E+0	3.18997094E+1	
4.50000000E+0	2.86007436E+1	
5.00000000E+0	2.36266858E+1	
5.50000000E+0	1.32022230E+1	
6.00000000E+0	1.31857669E+1	
6.50000000E+0	2.15583980E+1	
7.00000000E+0	2.48479343E+1	
7.50000000E+0	2.64586152E+1	
8.00000000E+0	2.71170275E+1	
8.50000000E+0	2.70749665E+1	
9.00000000E+0	2.64125952E+1	
9.50000000E+0	2.51043907E+1	
1.00000000E+1	2.30025049E+1	
1.05000000E+1	1.97045991E+1	
1.10000000E+1	1.39017753E+1	
1.15000000E+1	-9.62484018E+0	
1.20000000E+1	1.18546850E+1	
1.25000000E+1	1.75415515E+1	
1.30000000E+1	2.02945164E+1	
1.35000000E+1	2.17465973E+1	
1.40000000E+1	2.23673010E+1	
1.45000000E+1	2.23317045E+1	
1.50000000E+1	2.16867095E+1	
1.55000000E+1	2.03843762E+1	
1.60000000E+1	1.82477974E+1	
1.65000000E+1	1.48022448E+1	
1.70000000E+1	8.38688574E+0	
1.75000000E+1	-1.24721768E+1	
1.80000000E+1	9.27779819E+0	
1.85000000E+1	1.43692498E+1	
1.90000000E+1	1.69880845E+1	
1.95000000E+1	1.84264803E+1	
2.00000000E+1	1.90883405E+1	
2.05000000E+1	1.91305691E+1	
2.10000000E+1	1.85982946E+1	
2.15000000E+1	1.74540717E+1	
2.20000000E+1	1.55530432E+1	
2.25000000E+1	1.25205002E+1	
2.30000000E+1	7.18889309E+0	
2.35000000E+1	-1.02951260E+1	
2.40000000E+1	4.06076160E+0	
2.45000000E+1	1.03860803E+1	
