Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
6.20000000E+1	-4.21400421E+1	
6.25000000E+1	-4.05573912E+1	
6.30000000E+1	-3.92223692E+1	
6.35000000E+1	-3.81195159E+1	
6.40000000E+1	-3.72259776E+1	
6.45000000E+1	-3.65190061E+1	
6.50000000E+1	-3.59783008E+1	
6.55000000E+1	-3.55864278E+1	
6.60000000E+1	-3.53285827E+1	
6.65000000E+1	-3.51921713E+1	
6.70000000E+1	-3.51663773E+1	
6.75000000E+1	-3.52417660E+1	
6.80000000E+1	-3.54099306E+1	
6.85000000E+1	-3.56631723E+1	
6.90000000E+1	-3.59942013E+1	
6.95000000E+1	-3.63958433E+1	
7.00000000E+1	-3.68607444E+1	
7.05000000E+1	-3.73810674E+1	
7.10000000E+1	-3.79481849E+1	
7.15000000E+1	-3.85523921E+1	
7.20000000E+1	-3.91826817E+1	
7.25000000E+1	-3.98266574E+1	
7.30000000E+1	-4.04706842E+1	
7.35000000E+1	-4.11003863E+1	
7.40000000E+1	-4.17015540E+1	
7.45000000E+1	-4.22614142E+1	
7.50000000E+1	-4.27700472E+1	
7.55000000E+1	-4.32215838E+1	
7.60000000E+1	-4.36147988E+1	
7.65000000E+1	-4.39528838E+1	
7.70000000E+1	-4.42424776E+1	
7.75000000E+1	-4.44922745E+1	
7.80000000E+1	-4.47116108E+1	
7.85000000E+1	-4.49093274E+1	
7.90000000E+1	-4.50930364E+1	
7.95000000E+1	-4.52687748E+1	
8.00000000E+1	-4.54409473E+1	
8.05000000E+1	-4.56124524E+1	
8.10000000E+1	-4.57848962E+1	
8.15000000E+1	-4.59588364E+1	
8.20000000E+1	-4.61340179E+1	
8.25000000E+1	-4.63095833E+1	
8.30000000E+1	-4.64842529E+1	
8.35000000E+1	-4.66564732E+1	
8.40000000E+1	-4.68245363E+1	
8.45000000E+1	-4.69866755E+1	
8.50000000E+1	-4.71411380E+1	
8.55000000E+1	-4.72862405E+1	
8.60000000E+1	-4.74204094E+1	
8.65000000E+1	-4.75422090E+1	
8.70000000E+1	-4.76503594E+1	
8.75000000E+1	-4.77437473E+1	
8.80000000E+1	-4.78214312E+1	
8.85000000E+1	-4.78826433E+1	
8.90000000E+1	-4.79267890E+1	
8.95000000E+1	-4.79534450E+1	
9.00000000E+1	-1.00000000E+3	
