Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-1.45000000E+1	9.06845041E+0	
-1.40000000E+1	8.93348091E+0	
-1.35000000E+1	8.12368891E+0	
-1.30000000E+1	6.41704182E+0	
-1.25000000E+1	3.20905482E+0	
-1.20000000E+1	-3.92435492E+0	
-1.15000000E+1	-1.05625476E+1	
-1.10000000E+1	2.26256951E+0	
-1.05000000E+1	7.24646731E+0	
-1.00000000E+1	1.02171560E+1	
-9.50000000E+0	1.21301177E+1	
-9.00000000E+0	1.33055331E+1	
-8.50000000E+0	1.38599458E+1	
-8.00000000E+0	1.38010179E+1	
-7.50000000E+0	1.30310621E+1	
-7.00000000E+0	1.12658671E+1	
-6.50000000E+0	7.66955044E+0	
-6.00000000E+0	-2.20005371E+0	
-5.50000000E+0	1.80701673E+0	
-5.00000000E+0	1.09985933E+1	
-4.50000000E+0	1.57024656E+1	
-4.00000000E+0	1.88785475E+1	
-3.50000000E+0	2.12290774E+1	
-3.00000000E+0	2.30347814E+1	
-2.50000000E+0	2.44360864E+1	
-2.00000000E+0	2.55125017E+1	
-1.50000000E+0	2.63123042E+1	
-1.00000000E+0	2.68656533E+1	
-5.00000000E-1	2.71910061E+1	
0.00000000E+0	2.72983943E+1	
5.00000000E-1	2.71910045E+1	
1.00000000E+0	2.68656501E+1	
1.50000000E+0	2.63122993E+1	
2.00000000E+0	2.55124951E+1	
2.50000000E+0	2.44360780E+1	
3.00000000E+0	2.30347710E+1	
3.50000000E+0	2.12290648E+1	
4.00000000E+0	1.88785325E+1	
4.50000000E+0	1.57024474E+1	
5.00000000E+0	1.09985702E+1	
5.50000000E+0	1.80697896E+0	
6.00000000E+0	-2.20004519E+0	
6.50000000E+0	7.66953586E+0	
7.00000000E+0	1.12658461E+1	
7.50000000E+0	1.30310363E+1	
8.00000000E+0	1.38009873E+1	
8.50000000E+0	1.38599098E+1	
9.00000000E+0	1.33054906E+1	
9.50000000E+0	1.21300667E+1	
1.00000000E+1	1.02170924E+1	
1.05000000E+1	7.24638179E+0	
1.10000000E+1	2.26243204E+0	
1.15000000E+1	-1.05630221E+1	
1.20000000E+1	-3.92413253E+0	
1.25000000E+1	3.20912960E+0	
1.30000000E+1	6.41708016E+0	
1.35000000E+1	8.12371158E+0	
1.40000000E+1	8.93349635E+0	
1.45000000E+1	9.06846414E+0	
1.50000000E+1	8.60321317E+0	
1.55000000E+1	7.51930485E+0	
1.60000000E+1	5.69285169E+0	
1.65000000E+1	2.79293126E+0	
1.70000000E+1	-2.17380830E+0	
1.75000000E+1	-1.55854195E+1	
1.80000000E+1	-7.57254079E+0	
1.85000000E+1	-5.45858710E-1	
1.90000000E+1	2.72100357E+0	
1.95000000E+1	4.52480080E+0	
2.00000000E+1	5.45437894E+0	
2.05000000E+1	5.73186318E+0	
2.10000000E+1	5.43929433E+0	
2.15000000E+1	4.57504078E+0	
2.20000000E+1	3.05236825E+0	
2.25000000E+1	6.37825578E-1	
2.30000000E+1	-3.29693659E+0	
2.35000000E+1	-1.13224198E+1	
2.40000000E+1	-1.73305036E+1	
2.45000000E+1	-5.78775156E+0	
2.50000000E+1	-1.50152387E+0	
2.55000000E+1	8.47594674E-1	
2.60000000E+1	2.18465059E+0	
2.65000000E+1	2.83258057E+0	
2.70000000E+1	2.92536771E+0	
2.75000000E+1	2.50764483E+0	
2.80000000E+1	1.55975928E+0	
2.85000000E+1	-1.36707598E-2	
2.90000000E+1	-2.44801695E+0	
2.95000000E+1	-6.36158243E+0	
3.00000000E+1	-1.42309132E+1	
3.05000000E+1	-2.09315357E+1	
3.10000000E+1	-9.01369717E+0	
3.15000000E+1	-4.61808167E+0	
3.20000000E+1	-2.16830103E+0	
3.25000000E+1	-7.14316988E-1	
3.30000000E+1	7.81774124E-2	
3.35000000E+1	3.54695164E-1	
3.40000000E+1	1.76587505E-1	
3.45000000E+1	-4.47262414E-1	
3.50000000E+1	-1.55686829E+0	
3.55000000E+1	-3.26160134E+0	
3.60000000E+1	-5.81090545E+0	
3.65000000E+1	-9.85187268E+0	
3.70000000E+1	-1.80242748E+1	
3.75000000E+1	-2.31593757E+1	
3.80000000E+1	-1.20703743E+1	
3.85000000E+1	-7.74799231E+0	
3.90000000E+1	-5.27654756E+0	
3.95000000E+1	-3.75038006E+0	
4.00000000E+1	-2.84154229E+0	
4.05000000E+1	-2.40053160E+0	
4.10000000E+1	-2.35492670E+0	
4.15000000E+1	-2.67546966E+0	
4.20000000E+1	-3.36515108E+0	
4.25000000E+1	-4.46079600E+0	
4.30000000E+1	-6.04856755E+0	
4.35000000E+1	-8.30928746E+0	
4.40000000E+1	-1.16605322E+1	
4.45000000E+1	-1.73896750E+1	
4.50000000E+1	-3.43298588E+1	
4.55000000E+1	-1.90626283E+1	
4.60000000E+1	-1.31687858E+1	
4.65000000E+1	-1.00400499E+1	
4.70000000E+1	-8.08588845E+0	
4.75000000E+1	-6.81962023E+0	
4.80000000E+1	-6.03019969E+0	
4.85000000E+1	-5.61014576E+0	
4.90000000E+1	-5.50115452E+0	
4.95000000E+1	-5.67300309E+0	
5.00000000E+1	-6.11488358E+0	
5.05000000E+1	-6.83282773E+0	
5.10000000E+1	-7.85161987E+0	
5.15000000E+1	-9.22236651E+0	
5.20000000E+1	-1.10410267E+1	
5.25000000E+1	-1.34949323E+1	
5.30000000E+1	-1.70011613E+1	
5.35000000E+1	-2.27690931E+1	
5.40000000E+1	-3.35210613E+1	
5.45000000E+1	-2.38190483E+1	
5.50000000E+1	-1.84025667E+1	
5.55000000E+1	-1.53741656E+1	
5.60000000E+1	-1.34222074E+1	
5.65000000E+1	-1.20998803E+1	
5.70000000E+1	-1.12043563E+1	
5.75000000E+1	-1.06273663E+1	
5.80000000E+1	-1.03051752E+1	
5.85000000E+1	-1.01980537E+1	
5.90000000E+1	-1.02806693E+1	
5.95000000E+1	-1.05372008E+1	
6.00000000E+1	-1.09587763E+1	
6.05000000E+1	-1.15422129E+1	
6.10000000E+1	-1.22896179E+1	
6.15000000E+1	-1.32087160E+1	
6.20000000E+1	-1.43139753E+1	
6.25000000E+1	-1.56288431E+1	
6.30000000E+1	-1.71897536E+1	
6.35000000E+1	-1.90531479E+1	
6.40000000E+1	-2.13073473E+1	
6.45000000E+1	-2.40881504E+1	
6.50000000E+1	-2.75541372E+1	
6.55000000E+1	-3.13737050E+1	
6.60000000E+1	-3.25437251E+1	
6.65000000E+1	-3.00924574E+1	
6.70000000E+1	-2.75551261E+1	
6.75000000E+1	-2.57142011E+1	
6.80000000E+1	-2.44399249E+1	
6.85000000E+1	-2.35820709E+1	
6.90000000E+1	-2.30400483E+1	
6.95000000E+1	-2.27490848E+1	
7.00000000E+1	-2.26668377E+1	
7.05000000E+1	-2.27652321E+1	
7.10000000E+1	-2.30257325E+1	
7.15000000E+1	-2.34366094E+1	
7.20000000E+1	-2.39913862E+1	
7.25000000E+1	-2.46880425E+1	
7.30000000E+1	-2.55287712E+1	
7.35000000E+1	-2.65202295E+1	
7.40000000E+1	-2.76743482E+1	
7.45000000E+1	-2.90099086E+1	
7.50000000E+1	-3.05553382E+1	
7.55000000E+1	-3.23536196E+1	
7.60000000E+1	-3.44710370E+1	
7.65000000E+1	-3.70127134E+1	
7.70000000E+1	-4.01456075E+1	
7.75000000E+1	-4.40733056E+1	
7.80000000E+1	-4.82685140E+1	
7.85000000E+1	-4.87303094E+1	
7.90000000E+1	-4.59426520E+1	
7.95000000E+1	-4.36032781E+1	
8.00000000E+1	-4.20547529E+1	
8.05000000E+1	-4.10934735E+1	
8.10000000E+1	-4.05653455E+1	
8.15000000E+1	-4.03763590E+1	
8.20000000E+1	-4.04700822E+1	
8.25000000E+1	-4.08132156E+1	
8.30000000E+1	-4.13876438E+1	
8.35000000E+1	-4.21861763E+1	
8.40000000E+1	-4.32104028E+1	
8.45000000E+1	-4.44699003E+1	
8.50000000E+1	-4.59824958E+1	
8.55000000E+1	-4.77756170E+1	
8.60000000E+1	-4.98891065E+1	
8.65000000E+1	-5.23804056E+1	
8.70000000E+1	-5.53339945E+1	
8.75000000E+1	-5.88787591E+1	
8.80000000E+1	-6.32189523E+1	
8.85000000E+1	-6.86732971E+1	
8.90000000E+1	-7.55673449E+1	
8.95000000E+1	-8.34737096E+1	
9.00000000E+1	-1.00000000E+3	
