Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-1.45000000E+1	9.09214705E+0	
-1.40000000E+1	9.00144279E+0	
-1.35000000E+1	8.24141870E+0	
-1.30000000E+1	6.60287400E+0	
-1.25000000E+1	3.51993569E+0	
-1.20000000E+1	-3.18447344E+0	
-1.15000000E+1	-1.24028755E+1	
-1.10000000E+1	1.90278802E+0	
-1.05000000E+1	7.07495084E+0	
-1.00000000E+1	1.01249313E+1	
-9.50000000E+0	1.20848334E+1	
-9.00000000E+0	1.32937815E+1	
-8.50000000E+0	1.38757834E+1	
-8.00000000E+0	1.38429051E+1	
-7.50000000E+0	1.31019520E+1	
-7.00000000E+0	1.13772983E+1	
-6.50000000E+0	7.86285289E+0	
-6.00000000E+0	-1.57674148E+0	
-5.50000000E+0	1.39534379E+0	
-5.00000000E+0	1.08699147E+1	
-4.50000000E+0	1.56401110E+1	
-4.00000000E+0	1.88469326E+1	
-3.50000000E+0	2.12155305E+1	
-3.00000000E+0	2.30331398E+1	
-2.50000000E+0	2.44427502E+1	
-2.00000000E+0	2.55250824E+1	
-1.50000000E+0	2.63290541E+1	
-1.00000000E+0	2.68851851E+1	
-5.00000000E-1	2.72121368E+1	
0.00000000E+0	2.73200469E+1	
5.00000000E-1	2.72121347E+1	
1.00000000E+0	2.68851808E+1	
1.50000000E+0	2.63290477E+1	
2.00000000E+0	2.55250738E+1	
2.50000000E+0	2.44427393E+1	
3.00000000E+0	2.30331264E+1	
3.50000000E+0	2.12155144E+1	
4.00000000E+0	1.88469135E+1	
4.50000000E+0	1.56400882E+1	
5.00000000E+0	1.08698862E+1	
5.50000000E+0	1.39529832E+0	
6.00000000E+0	-1.57673728E+0	
6.50000000E+0	7.86283350E+0	
7.00000000E+0	1.13772721E+1	
7.50000000E+0	1.31019209E+1	
8.00000000E+0	1.38428694E+1	
8.50000000E+0	1.38757431E+1	
9.00000000E+0	1.32937358E+1	
9.50000000E+0	1.20847815E+1	
1.00000000E+1	1.01248712E+1	
1.05000000E+1	7.07487811E+0	
1.10000000E+1	1.90268795E+0	
1.15000000E+1	-1.24031866E+1	
1.20000000E+1	-3.18443703E+0	
1.25000000E+1	3.51991577E+0	
1.30000000E+1	6.60283544E+0	
1.35000000E+1	8.24136870E+0	
1.40000000E+1	9.00138366E+0	
1.45000000E+1	9.09207956E+0	
1.50000000E+1	8.58088088E+0	
1.55000000E+1	7.44217894E+0	
1.60000000E+1	5.53989013E+0	
1.65000000E+1	2.51182511E+0	
1.70000000E+1	-2.76547062E+0	
1.75000000E+1	-1.90919316E+1	
1.80000000E+1	-6.49003533E+0	
1.85000000E+1	-7.55246665E-2	
1.90000000E+1	3.00625073E+0	
1.95000000E+1	4.70972764E+0	
2.00000000E+1	5.56760397E+0	
2.05000000E+1	5.78339785E+0	
