Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-1.35000000E+1	5.16147047E+0	
-1.30000000E+1	3.39502256E+0	
-1.25000000E+1	9.36690777E-2	
-1.20000000E+1	-7.33023523E+0	
-1.15000000E+1	-1.24495285E+1	
-1.10000000E+1	-4.57704962E-1	
-1.05000000E+1	4.40753681E+0	
-1.00000000E+1	7.32764840E+0	
-9.50000000E+0	9.21191411E+0	
-9.00000000E+0	1.03689637E+1	
-8.50000000E+0	1.09109200E+1	
-8.00000000E+0	1.08431855E+1	
-7.50000000E+0	1.00664531E+1	
-7.00000000E+0	8.29453085E+0	
-6.50000000E+0	4.68666241E+0	
-6.00000000E+0	-5.21937119E+0	
-5.50000000E+0	-1.01913629E+0	
-5.00000000E+0	8.09863992E+0	
-4.50000000E+0	1.27939635E+1	
-4.00000000E+0	1.59713561E+1	
-3.50000000E+0	1.83269891E+1	
-3.00000000E+0	2.01399023E+1	
-2.50000000E+0	2.15498382E+1	
-2.00000000E+0	2.26359613E+1	
-1.50000000E+0	2.34463533E+1	
-1.00000000E+0	2.40110609E+1	
-5.00000000E-1	2.43484878E+1	
0.00000000E+0	2.44516178E+1	
5.00000000E-1	2.43485002E+1	
1.00000000E+0	2.40111672E+1	
1.50000000E+0	2.34465433E+1	
2.00000000E+0	2.26362215E+1	
2.50000000E+0	2.15501513E+1	
3.00000000E+0	2.01402456E+1	
3.50000000E+0	1.83273303E+1	
4.00000000E+0	1.59716437E+1	
4.50000000E+0	1.27940987E+1	
5.00000000E+0	8.09835723E+0	
5.50000000E+0	-1.02144216E+0	
6.00000000E+0	-5.21463677E+0	
6.50000000E+0	4.68873417E+0	
7.00000000E+0	8.29605525E+0	
7.50000000E+0	1.00676905E+1	
8.00000000E+0	1.08441938E+1	
8.50000000E+0	1.09116927E+1	
9.00000000E+0	1.03694536E+1	
9.50000000E+0	9.21202448E+0	
1.00000000E+1	7.32719058E+0	
1.05000000E+1	4.40608340E+0	
1.10000000E+1	-4.61528624E-1	
1.15000000E+1	-1.24695916E+1	
1.20000000E+1	-7.31913715E+0	
1.25000000E+1	9.86651704E-2	
1.30000000E+1	3.39826849E+0	
1.35000000E+1	5.16374069E+0	
1.40000000E+1	6.02457652E+0	
1.45000000E+1	6.21170466E+0	
1.50000000E+1	5.80558126E+0	
1.55000000E+1	4.79474554E+0	
1.60000000E+1	3.06818887E+0	
1.65000000E+1	3.28192808E-1	
1.70000000E+1	-4.28636013E+0	
1.75000000E+1	-1.53465144E+1	
1.80000000E+1	-1.16740414E+1	
1.85000000E+1	-3.79676638E+0	
1.90000000E+1	-2.64504349E-1	
1.95000000E+1	1.69997433E+0	
2.00000000E+1	2.75890174E+0	
2.05000000E+1	3.15856615E+0	
2.10000000E+1	2.99434081E+0	
2.15000000E+1	2.27742209E+0	
2.20000000E+1	9.41400751E-1	
2.25000000E+1	-1.20062711E+0	
2.30000000E+1	-4.62212673E+0	
2.35000000E+1	-1.08485270E+1	
2.40000000E+1	-2.01020011E+1	
2.45000000E+1	-9.17112426E+0	
2.50000000E+1	-4.32377815E+0	
2.55000000E+1	-1.65730584E+0	
2.60000000E+1	-8.42607294E-2	
2.65000000E+1	7.70530100E-1	
2.70000000E+1	1.06525807E+0	
2.75000000E+1	8.61921279E-1	
2.80000000E+1	1.61249122E-1	
2.85000000E+1	-1.09610374E+0	
2.90000000E+1	-3.05852171E+0	
2.95000000E+1	-6.04941925E+0	
3.00000000E+1	-1.07204317E+1	
3.05000000E+1	-1.53076746E+1	
3.10000000E+1	-1.07293967E+1	
3.15000000E+1	-6.39170106E+0	
3.20000000E+1	-3.69063243E+0	
3.25000000E+1	-1.98096424E+0	
3.30000000E+1	-9.41471308E-1	
3.35000000E+1	-4.16860522E-1	
3.40000000E+1	-3.32439839E-1	
3.45000000E+1	-6.60760606E-1	
3.50000000E+1	-1.40990990E+0	
3.55000000E+1	-2.62239114E+0	
3.60000000E+1	-4.37687415E+0	
3.65000000E+1	-6.75782733E+0	
3.70000000E+1	-9.55746316E+0	
3.75000000E+1	-1.10184531E+1	
3.80000000E+1	-9.29231662E+0	
3.85000000E+1	-6.66237620E+0	
3.90000000E+1	-4.52921349E+0	
3.95000000E+1	-2.99188024E+0	
4.00000000E+1	-1.94968123E+0	
4.05000000E+1	-1.31590701E+0	
4.10000000E+1	-1.03418258E+0	
4.15000000E+1	-1.07163528E+0	
4.20000000E+1	-1.41206098E+0	
4.25000000E+1	-2.05010106E+0	
4.30000000E+1	-2.98293178E+0	
4.35000000E+1	-4.19039571E+0	
4.40000000E+1	-5.58150526E+0	
4.45000000E+1	-6.87780743E+0	
4.50000000E+1	-7.53719051E+0	
4.55000000E+1	-7.15786367E+0	
4.60000000E+1	-6.03251547E+0	
4.65000000E+1	-4.71978924E+0	
4.70000000E+1	-3.53673086E+0	
4.75000000E+1	-2.58670972E+0	
4.80000000E+1	-1.88435282E+0	
4.85000000E+1	-1.41715828E+0	
4.90000000E+1	-1.16710117E+0	
4.95000000E+1	-1.11678667E+0	
5.00000000E+1	-1.25003000E+0	
5.05000000E+1	-1.54997458E+0	
5.10000000E+1	-1.99528820E+0	
5.15000000E+1	-2.55401401E+0	
5.20000000E+1	-3.17485772E+0	
5.25000000E+1	-3.77831695E+0	
5.30000000E+1	-4.25694897E+0	
5.35000000E+1	-4.50057799E+0	
5.40000000E+1	-4.44756550E+0	
5.45000000E+1	-4.12209465E+0	
5.50000000E+1	-3.61524998E+0	
5.55000000E+1	-3.03206015E+0	
5.60000000E+1	-2.45449438E+0	
5.65000000E+1	-1.93339632E+0	
5.70000000E+1	-1.49510190E+0	
5.75000000E+1	-1.15021984E+0	
5.80000000E+1	-9.00134252E-1	
5.85000000E+1	-7.40927712E-1	
5.90000000E+1	-6.65474294E-1	
5.95000000E+1	-6.64415896E-1	
6.00000000E+1	-7.26513060E-1	
6.05000000E+1	-8.38697440E-1	
6.10000000E+1	-9.86073742E-1	
6.15000000E+1	-1.15209614E+0	
6.20000000E+1	-1.31913245E+0	
6.25000000E+1	-1.46957007E+0	
6.30000000E+1	-1.58745684E+0	
6.35000000E+1	-1.66040678E+0	
6.40000000E+1	-1.68124374E+0	
6.45000000E+1	-1.64879818E+0	
6.50000000E+1	-1.56753122E+0	
6.55000000E+1	-1.44612383E+0	
6.60000000E+1	-1.29554443E+0	
6.65000000E+1	-1.12718521E+0	
6.70000000E+1	-9.51464165E-1	
6.75000000E+1	-7.77014431E-1	
6.80000000E+1	-6.10380895E-1	
6.85000000E+1	-4.56062788E-1	
6.90000000E+1	-3.16746259E-1	
6.95000000E+1	-1.93613473E-1	
7.00000000E+1	-8.66604096E-2	
7.05000000E+1	5.00991835E-3	
7.10000000E+1	8.29307380E-2	
7.15000000E+1	1.49052123E-1	
7.20000000E+1	2.05555398E-1	
7.25000000E+1	2.54697143E-1	
7.30000000E+1	2.98679636E-1	
7.35000000E+1	3.39546062E-1	
7.40000000E+1	3.79099985E-1	
7.45000000E+1	4.18849145E-1	
7.50000000E+1	4.59973344E-1	
7.55000000E+1	5.03315407E-1	
7.60000000E+1	5.49392916E-1	
7.65000000E+1	5.98427224E-1	
7.70000000E+1	6.50385288E-1	
7.75000000E+1	7.05029397E-1	
7.80000000E+1	7.61969976E-1	
7.85000000E+1	8.20717249E-1	
7.90000000E+1	8.80728449E-1	
7.95000000E+1	9.41448373E-1	
8.00000000E+1	1.00234211E+0	
8.05000000E+1	1.06291967E+0	
8.10000000E+1	1.12275297E+0	
8.15000000E+1	1.18148598E+0	
8.20000000E+1	1.23883922E+0	
8.25000000E+1	1.29460969E+0	
8.30000000E+1	1.34866742E+0	
8.35000000E+1	1.40094964E+0	
8.40000000E+1	1.45145334E+0	
8.45000000E+1	1.50022695E+0	
8.50000000E+1	1.54736154E+0	
8.55000000E+1	1.59298199E+0	
8.60000000E+1	1.63723820E+0	
8.65000000E+1	1.68029654E+0	
8.70000000E+1	1.72233134E+0	
8.75000000E+1	1.76351660E+0	
8.80000000E+1	1.80401745E+0	
8.85000000E+1	1.84398139E+0	
8.90000000E+1	1.88352887E+0	
8.95000000E+1	1.92274291E+0	
9.00000000E+1	1.25323317E+0	
