Far field
"Plane Wave Theta"[deg]	"FarField2 [dBsm]"	
-1.40000000E+1	1.03160469E+1	
-1.35000000E+1	9.69602841E+0	
-1.30000000E+1	8.24461100E+0	
-1.25000000E+1	5.49228664E+0	
-1.20000000E+1	-1.93965191E-1	
-1.15000000E+1	-2.16727771E+1	
-1.10000000E+1	1.85430920E+0	
-1.05000000E+1	7.65767779E+0	
-1.00000000E+1	1.09561066E+1	
-9.50000000E+0	1.30584916E+1	
-9.00000000E+0	1.43671708E+1	
-8.50000000E+0	1.50299921E+1	
-8.00000000E+0	1.50724781E+1	
-7.50000000E+0	1.44144656E+1	
-7.00000000E+0	1.28041585E+1	
-6.50000000E+0	9.51496886E+0	
-6.00000000E+0	1.14264655E+0	
-5.50000000E+0	1.15945150E+0	
-5.00000000E+0	1.15841698E+1	
-4.50000000E+0	1.65584717E+1	
-4.00000000E+0	1.98576577E+1	
-3.50000000E+0	2.22798693E+1	
-3.00000000E+0	2.41325221E+1	
-2.50000000E+0	2.55664412E+1	
-2.00000000E+0	2.66660204E+1	
-1.50000000E+0	2.74821085E+1	
-1.00000000E+0	2.80463073E+1	
-5.00000000E-1	2.83778908E+1	
0.00000000E+0	2.84873129E+1	
5.00000000E-1	2.83778908E+1	
1.00000000E+0	2.80463073E+1	
1.50000000E+0	2.74821085E+1	
2.00000000E+0	2.66660204E+1	
2.50000000E+0	2.55664412E+1	
3.00000000E+0	2.41325221E+1	
3.50000000E+0	2.22798693E+1	
4.00000000E+0	1.98576577E+1	
4.50000000E+0	1.65584717E+1	
5.00000000E+0	1.15841698E+1	
5.50000000E+0	1.15945150E+0	
6.00000000E+0	1.14264655E+0	
6.50000000E+0	9.51496886E+0	
7.00000000E+0	1.28041585E+1	
7.50000000E+0	1.44144656E+1	
8.00000000E+0	1.50724781E+1	
8.50000000E+0	1.50299921E+1	
9.00000000E+0	1.43671708E+1	
9.50000000E+0	1.30584916E+1	
1.00000000E+1	1.09561066E+1	
1.05000000E+1	7.65767779E+0	
1.10000000E+1	1.85430920E+0	
1.15000000E+1	-2.16727771E+1	
1.20000000E+1	-1.93965191E-1	
1.25000000E+1	5.49228664E+0	
1.30000000E+1	8.24461100E+0	
1.35000000E+1	9.69602841E+0	
1.40000000E+1	1.03160469E+1	
1.45000000E+1	1.02797447E+1	
1.50000000E+1	9.63402515E+0	
1.55000000E+1	8.33095191E+0	
1.60000000E+1	6.19362508E+0	
1.65000000E+1	2.74733779E+0	
1.70000000E+1	-3.66862898E+0	
1.75000000E+1	-2.45333711E+1	
1.80000000E+1	-2.78017799E+0	
1.85000000E+1	2.31056133E+0	
1.90000000E+1	4.92855982E+0	
1.95000000E+1	6.36607692E+0	
2.00000000E+1	7.02703617E+0	
2.05000000E+1	7.06835252E+0	
2.10000000E+1	6.53516616E+0	
2.15000000E+1	5.39005040E+0	
2.20000000E+1	3.48818784E+0	
2.25000000E+1	4.54980717E-1	
2.30000000E+1	-4.87662843E+0	
2.35000000E+1	-2.23469298E+1	
2.40000000E+1	-8.01245805E+0	
